CHEMICAL_REPORT_ID,CHEMICAL NAME,CHEMICAL ID,CHEMICAL ID W/O DASHES,CHEMICAL ID TYPE,DOMESTIC PARENT COMPANY NAME,DOMESTIC PC ADDRESS LINE1,DOMESTIC PC ADDRESS LINE2,DOMESTIC PC CITY,DOMESTIC PC COUNTY / PARISH,DOMESTIC PC STATE,DOMESTIC PC POSTAL CODE,DOMESTIC PC DUN & BRADSTREET NUMBER,FOREIGN PARENT COMPANY NAME,FOREIGN PC ADDRESS LINE1,FOREIGN PC ADDRESS LINE2,FOREIGN PC CITY,FOREIGN PC COUNTY / PARISH,FOREIGN PC POSTAL CODE,FOREIGN PC COUNTRY CODE,FOREIGN PC DUN & BRADSTREET NUMBER,SITE NAME,SITE ADDRESS LINE1,SITE ADDRESS LINE2,SITE CITY,SITE COUNTY / PARISH,SITE STATE,SITE POSTAL CODE,SITE LATITUDE,SITE LONGITUDE,SITE DUN & BRADSTREET NUMBER,EPA-TSCA PROGRAM ID,EPA FACILITY REGISTRY ID,SITE NAICS CODE 1,SITE NAICS ACTIVITY 1,SITE NAICS CODE 2,SITE NAICS ACTIVITY 2,SITE NAICS CODE 3,SITE NAICS ACTIVITY 3,ACTIVITY,2019 DOMESTIC PV,2019 IMPORT PV,2019 PV,2018 PV,2017 PV,2016 PV,2019 NATIONALLY AGGREGATED PV,2018 NATIONALLY AGGREGATED PV,2017 NATIONALLY AGGREGATED PV,2016 NATIONALLY AGGREGATED PV,IMPORTED CHEM NEVER AT SITE,2019 V USED ON-SITE,2019 V EXPORTED,PCT BYP CODE,PERCENT BYPRODUCT,WORKERS CODE,WORKERS,MAX CONC CODE,MAXIMUM CONCENTRATION,RECYCLED,PHYSICAL FORM(S),C / C PROD CAT CODE,CONSUMER / COMMERCIAL PRODUCT CATEGORY,CONS / COMM PROD CAT OTHER DESC,C / C FC CODE,CONS / COMM FUNCTION CATEGORY,CONS / COMM FUNCT CAT OTHER DESC,JOINT FC CODE,JOINT FUNCTION CATEGORY,JOINT FUNCT CAT OTHER DESC,CONS OR COMM USE,USED IN PROD FOR CHILDREN,C / C PV PCT,C / C MAX CONC CODE,C / C MAXIMUM CONCENTRATION,COMM WORKERS CODE,COMMERCIAL WORKERS,Name
706041,"1,3-Butadiene",106-99-0,106990,CASRN,"Lion Copolymer Holdings, LLC",PO Box 397,,Geismar,Ascension,LA,70734,80-205-5579,,,,,,,,,"LION ELASTOMERS, LLC",1615 MAIN ST,,PORT NECHES,JEFFERSON COUNTY,TX,77651,29.987664,-93.944972,13-571-7622,TSCA113941,110020515735,325212 Synthetic Rubber Manufacturing,Manufacture,,,,,,,,,0,0,"48,484,072","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,3-Butadiene"
708832,"1,3-Butadiene",106-99-0,106990,CASRN,EXXON MOBIL CORPORATION,5959 Las Colinas Blvd,,Irving,Dallas,TX,75039-2298,00-121-3214,,,,,,,,,EXXON MOBIL BR CHEMICAL PLANT,4999 SCENIC HWY.,,BATON ROUGE,,LA,70805,30.497,-91.17327,03-796-1513,TSCA121061,110000449970,325110 Petrochemical Manufacturing,Both,325212 Synthetic Rubber Manufacturing,Both,,,Manufacture,CBI,0,CBI,CBI,CBI,CBI,"1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb",,CBI,CBI,NKRA,Not Known or Reasonably Ascertainable,W7,1000 - 9999,M5,90% +,No,Liquid,,,,,,,,,,,,,,,,,"1,3-Butadiene"
709072,"1,3-Butadiene",106-99-0,106990,CASRN,BASF CORP,100 Park Ave,,Florham Park,Morris,NJ,7932,00-130-7032,BASF SE,Carl-Bosch-Str-38,,Ludwigshafen,,67056,GM,31-500-0554,BASF FINA PETROCHEMICALS,7501 GULFWAY DR,,PORT ARTHUR,JEFFERSON,TX,77642-0301,29.951649,-93.887272,13-110-0765,TSCA4549,110006134691,325110 Petrochemical Manufacturing,,,,,,Manufacture,CBI,0,CBI,CBI,CBI,CBI,"1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb",,CBI,0,B3,At least 50 percent but less than 100 percent,W6,500 - 999,M5,90% +,Yes,Liquid,,,,,,,,,,,,,,,,,"1,3-Butadiene"
709102,"1,3-Butadiene",106-99-0,106990,CASRN,Shell Chemical LP,150 N Dairy Ashford Rd,,Houston,Harris,TX,77079,01-777-4071,ROYAL DUTCH SHELL PLC,Shell Centre,,London,,SE17 NA London,UK,42-379-2808,SHELL CHEMICAL LP,150 N DAIRY ASHFORD ST,,HOUSTON,HARRIS COUNTY,TX,77079,29.78626,-95.60658,01-777-4071,TSCA10040473,110070556464,325199 All Other Basic Organic Chemical Manufacturing,Import,,,,,Import,0,0,0,"9,259,624","1,989,127","8,818,629","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb",Yes,0,0,,,W1,< 10,M5,90% +,No,Liquid,CC304,Other articles with routine direct contact during normal use including rubber articles; plastic articles (hard),,F037,Intermediate,,,,,Commercial,No,80,M5,90% +,W5,100 - 499,"1,3-Butadiene"
715554,"1,3-Butadiene",106-99-0,106990,CASRN,"Koch Industries, Inc",4111 East 37th Street North,,Wichita,Sedgwick,KS,67220,00-694-4334,,,,,,,,,INVISTA S.A.R.L.,4123 EAST 37TH STREET NORTH,,WICHITA,SEDGWICK,KS,67220-3203,37.75228,-97.288325,04-691-9772,TSCA6524,110035818610,325199 All Other Basic Organic Chemical Manufacturing,Both,,,,,Import,CBI,CBI,CBI,CBI,CBI,CBI,"1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb",Yes,,0,,,W1,< 10,M5,90% +,No,Liquid,,,,,,,,,,,,,,,,,"1,3-Butadiene"
719995,"1,3-Butadiene",106-99-0,106990,CASRN,Shell Chemical LP,15536 River Road,,NORCO,St. Charles,LA,70079,01-777-4071,ROYAL DUTCH SHELL PLC,Shell Centre,,London,,SE17 NA,UK,42-379-2808,SHELL NORCO CHEMICAL PLANT EAST SITE,15536 RIVER ROAD,,NORCO,ST. CHARLES,LA,70079-2537,29.99435,-90.40726,96-756-4753,100607915,110013831201,325199 All Other Basic Organic Chemical Manufacturing,Manufacture,,,,,Manufacture,"445,206,779",0,"445,206,779","449,681,323","613,048,712","521,233,489","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb",No,"193,459,129","251,747,650",,,W7,1000 - 9999,M5,90% +,Yes,Gas or Vapor,CC304,Other articles with routine direct contact during normal use including rubber articles; plastic articles (hard),,F037,Intermediate,,,,,NKRA,No,100,M5,90% +,W7,1000 - 9999,"1,3-Butadiene"
720856,"1,3-Butadiene",106-99-0,106990,CASRN,Shell Chemical LP,5900 Hwy 225,,DEER PARK,HARRIS,TX,77536,61-814-3986,ROYAL DUTCH SHELL PLC,Shell Centre,2 York Road,London,,SE1 7NA,UK,42-379-2808,SHELL CHEMICAL LP,5900 HWY 225,,DEER PARK,HARRIS,TX,77536,29.722222,-95.126944,61-814-3986,714,110031267060,325199 All Other Basic Organic Chemical Manufacturing,Manufacture,,,,,Manufacture,"648,717",0,"648,717","887,964","730,625","911,148","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb",No,"648,717",0,,,W7,1000 - 9999,M5,90% +,No,Liquid,CC304,Other articles with routine direct contact during normal use including rubber articles; plastic articles (hard),,F037,Intermediate,,,,,NKRA,No,100,M5,90% +,NKRA,Not Known or Reasonably Ascertainable,"1,3-Butadiene"
727793,"1,3-Butadiene",106-99-0,106990,CASRN,Lyondell Chemical Company,1221 McKinney St,Suite 300,Houston,TX,TX,77010,19-412-3154,,,,,,,,,EQUISTAR CHEMICALS,8280 SHELDON RD.,,CHANNELVIEW,,TX,775300777,29.833365,-95.11202,18-463-6694,TSCA6073,110000463210,325199 All Other Basic Organic Chemical Manufacturing,Manufacture,,,,,Manufacture,CBI,0,CBI,CBI,CBI,CBI,"1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb",Yes,0,"11,546,858",B1,0 percent by weight,W7,1000 - 9999,M5,90% +,No,Liquid,,,,,,,,,,,,,,,,,"1,3-Butadiene"
727991,"1,3-Butadiene",106-99-0,106990,CASRN,The Goodyear Tire & Rubber Company,200 Innovation Way,,Akron,Summit,OH,44316,00-446-7924,,,,,,,,,THE GOODYEAR TIRE & RUBBER COMPANY,200 INNOVATION WAY,,AKRON,SUMMIT COUNTY,OH,44306,41.05968,-81.47657,00-446-7924,TSCA105581,110067532940,326211 Tire Manufacturing (Except Retreading),Manufacture,326212 Tire Retreading,Manufacture,,,Import,CBI,CBI,CBI,CBI,CBI,CBI,"1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb",Yes,,0,B4,100 percent by weight,W5,100 - 499,M5,90% +,No,Liquid,CC980,Other (specify),Synthetic Rubber,F038,Monomers,,,,,Both,No,100,NKRA,Not Known or Reasonably Ascertainable,NKRA,Not Known or Reasonably Ascertainable,"1,3-Butadiene"
730464,"1,3-Butadiene",106-99-0,106990,CASRN,EXXON MOBIL CORPORATION,5959 LAS COLINAS BLVD,,IRVING,Dallas,TX,75039-2298,00-121-3214,,,,,,,,,EXXONMOBIL CHEMICAL CO BAYTOWN OLEFINS PLANT,3525 DECKER DRIVE,,BAYTOWN,HARRIS,TX,77520-1646,29.755989,-95.012563,80-076-5448,TSCA8072,110000463169,325199 All Other Basic Organic Chemical Manufacturing,Manufacture,,,,,Manufacture,CBI,CBI,CBI,CBI,CBI,CBI,"1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb",,CBI,CBI,,,W7,1000 - 9999,M5,90% +,No,Liquid,,,,,,,,,,,,,,,,,"1,3-Butadiene"
731246,"1,3-Butadiene",106-99-0,106990,CASRN,TPC GROUP,500 DALLAS ST,SUITE 1000,HOUSTON,HARRIS,TX,77002,10-264-7005,,,,,,,,,TPC GROUP LLC,8600 PARK PLACE BOULEVARD,,HOUSTON,HARRIS,TX,77017-2513,29.695545,-95.264103,02-565-2359,100608368,110000461130,325199 All Other Basic Organic Chemical Manufacturing,Manufacture,,,,,Manufacture,CBI,CBI,CBI,CBI,CBI,CBI,"1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb",,CBI,CBI,,,W5,100 - 499,M5,90% +,No,Liquid,,,,,,,,,,,,,,,,,"1,3-Butadiene"
731277,"1,3-Butadiene",106-99-0,106990,CASRN,Trinseo LLC,1000 Chesterbrook Blvd.,,Berwyn,Chester,PA,19312-1084,83-316-7310,,,,,,,,,TRINSEO LLC,1000 CHESTERBROOK BLVD,,BERWYN,CHESTER COUNTY,PA,19312,40.064743,-75.460935,83-316-7310,TSCA4127,110059763279,325211 Plastics Material And Resin Manufacturing,Import,,,,,Import,CBI,CBI,CBI,CBI,CBI,CBI,"1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb",Yes,,CBI,B1,0 percent by weight,W1,< 10,M5,90% +,No,Liquid,,,,,,,,,,,,,,,,,"1,3-Butadiene"
732301,"1,3-Butadiene",106-99-0,106990,CASRN,TPC GROUP,500 DALLAS ST,SUITE 1000,HOUSTON,HARRIS,TX,77002,10-264-7005,,,,,,,,,TPC GROUP,2102 SPUR 136,,PORT NECHES,JEFFERSON,TX,77651,29.975256,-93.944857,79-150-0536,100608365,110000504801,325199 All Other Basic Organic Chemical Manufacturing,Manufacture,,,,,Manufacture,CBI,CBI,CBI,CBI,CBI,CBI,"1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb",,CBI,CBI,,,W5,100 - 499,M5,90% +,No,Liquid,,,,,,,,,,,,,,,,,"1,3-Butadiene"
733006,"1,3-Butadiene",106-99-0,106990,CASRN,ARLANXEO,111 RIDC Park West Drive,,Pittsburgh,Allegheny,PA,15275,14-585-8770,,,,,,,,,ARLANXEO--HQ,111 RIDC PARK WEST DR,,PITTSBURGH,ALLEGHENY COUNTY,PA,15275,40.4574834,-80.1933137,14-585-8770,TSCA108841,110067664260,325212 Synthetic Rubber Manufacturing,Import,,,,,Import,0,"184,292,759","184,292,759","331,595,468","163,152,103","215,703,958","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb",Yes,,0,B1,0 percent by weight,W1,< 10,M5,90% +,No,Liquid,CC103,"Furniture & furnishings including stone, plaster, cement, glass and ceramic articles; metal articles; or rubber articles",,F038,Monomers,,,,,Both,Yes,100,M5,90% +,W1,< 10,"1,3-Butadiene"
733006,"1,3-Butadiene",106-99-0,106990,CASRN,ARLANXEO,111 RIDC Park West Drive,,Pittsburgh,Allegheny,PA,15275,14-585-8770,,,,,,,,,ARLANXEO--HQ,111 RIDC PARK WEST DR,,PITTSBURGH,ALLEGHENY COUNTY,PA,15275,40.4574834,-80.1933137,14-585-8770,TSCA108841,110067664260,325212 Synthetic Rubber Manufacturing,Import,,,,,Import,0,"184,292,759","184,292,759","331,595,468","163,152,103","215,703,958","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb",Yes,,0,B1,0 percent by weight,W1,< 10,M5,90% +,No,Liquid,CC304,Other articles with routine direct contact during normal use including rubber articles; plastic articles (hard),,F038,Monomers,,,,,Commercial,NKRA,100,M5,90% +,W1,< 10,"1,3-Butadiene"
734187,"1,3-Butadiene",106-99-0,106990,CASRN,"MITSUI & CO. (U. S. A.), INC.",1300 Post Oak Boulevard,,Houston,Harris,TX,77056,00-168-9520,MITSUI & CO LTD,1-3 Marunouchi 1-Chome,Chiyoda-ku,Tokyo,,100-8631,JA,69-054-6403,"MITSUI & CO. (U. S. A.), INC",1300 POST OAK BOULEVARD,SUITE 1700,HOUSTON,,TX,77056,29.75253,-95.46009,00-168-9520,TSCA8507,110056967402,424690 Other Chemical And Allied Products Merchant Wholesalers,Import,,,,,Import,0,"5,781,597","5,781,597","20,500,254","32,389,862","25,615,854","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb",Yes,,"2,204,620",B4,100 percent by weight,NKRA,Not Known or Reasonably Ascertainable,M5,90% +,No,Gas or Vapor,CC304,Other articles with routine direct contact during normal use including rubber articles; plastic articles (hard),,F038,Monomers,,,,,Commercial,No,NKRA,NKRA,Not Known or Reasonably Ascertainable,NKRA,Not Known or Reasonably Ascertainable,"1,3-Butadiene"
734187,"1,3-Butadiene",106-99-0,106990,CASRN,"MITSUI & CO. (U. S. A.), INC.",1300 Post Oak Boulevard,,Houston,Harris,TX,77056,00-168-9520,MITSUI & CO LTD,1-3 Marunouchi 1-Chome,Chiyoda-ku,Tokyo,,100-8631,JA,69-054-6403,"MITSUI & CO. (U. S. A.), INC",1300 POST OAK BOULEVARD,SUITE 1700,HOUSTON,,TX,77056,29.75253,-95.46009,00-168-9520,TSCA8507,110056967402,424690 Other Chemical And Allied Products Merchant Wholesalers,Import,,,,,Import,0,"5,781,597","5,781,597","20,500,254","32,389,862","25,615,854","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb",Yes,,"2,204,620",B4,100 percent by weight,NKRA,Not Known or Reasonably Ascertainable,M5,90% +,No,Gas or Vapor,CC305,"Toys intended for children���s use (and child dedicated articles), including fabrics, textiles, and apparel; or plastic articles (hard)",,F038,Monomers,,,,,Commercial,No,NKRA,NKRA,Not Known or Reasonably Ascertainable,NKRA,Not Known or Reasonably Ascertainable,"1,3-Butadiene"
