CHEMICAL REPORT ID,CHEMICAL NAME,CHEMICAL ID,DOMESTIC PARENT COMPANY NAME CLEANED,SITE NAME,SITE ADDRESS LINE1,SITE CITY CLEANED,SITE STATE,ACTIVITY,2019 DOMESTIC PV,2019 IMPORT PV,2019 PV,2018 PV,2017 PV,2016 PV,WORKERS,RECYCLED,INDUSTRIAL TYPE OF PROCESS OR USE OPERATION,IND FUNCT CAT OTHER DESC,Name,CHEMICAL ID W/O DASHES,DOMESTIC PARENT COMPANY NAME,DOMESTIC PC ADDRESS LINE1,DOMESTIC PC ADDRESS LINE2,DOMESTIC PC CITY,DOMESTIC PC COUNTY / PARISH,DOMESTIC PC STATE,DOMESTIC PC POSTAL CODE,DOMESTIC PC DUN & BRADSTREET NUMBER,FOREIGN PARENT COMPANY NAME,FOREIGN PC ADDRESS LINE1,FOREIGN PC ADDRESS LINE2,FOREIGN PC CITY,FOREIGN PC COUNTY / PARISH,FOREIGN PC POSTAL CODE,FOREIGN PC COUNTRY CODE,FOREIGN PC DUN & BRADSTREET NUMBER,SITE ADDRESS LINE2,SITE CITY,SITE COUNTY / PARISH,SITE POSTAL CODE,SITE LATITUDE,SITE LONGITUDE,SITE DUN & BRADSTREET NUMBER,EPA-TSCA PROGRAM ID,EPA FACILITY REGISTRY ID,SITE NAICS CODE 1,SITE NAICS ACTIVITY 1,SITE NAICS CODE 2,SITE NAICS ACTIVITY 2,SITE NAICS CODE 3,SITE NAICS ACTIVITY 3,2019 NATIONALLY AGGREGATED PV,2018 NATIONALLY AGGREGATED PV,2017 NATIONALLY AGGREGATED PV,2016 NATIONALLY AGGREGATED PV,IMPORTED CHEM NEVER AT SITE,2019 V USED ON-SITE,2019 V EXPORTED,PCT BYP CODE,PERCENT BYPRODUCT,WORKERS CODE,MAX CONC CODE,MAXIMUM CONCENTRATION,PHYSICAL FORM(S),JOINT FC CODE,JOINT FUNCTION CATEGORY,JOINT FUNCT CAT OTHER DESC
705265,"1,2-Benzenedicarboxylic acid, 1,2-diisononyl ester",28553-12-0,ALAC INTERNATIONAL INC,ALAC INTERNATIONAL INC.,350 5TH AVE,NEW YORK,NY,Import,0,"25,021,453","25,021,453","28,004,412","38,008,448","40,917,000","10,000+",No,Not Known or Reasonably Ascertainable,,"Di-isononyl phthalate (DINP) - (1,2-benzenedicarboxylic acid, 1,2-diisononyl ester)",28553120,ALAC International Inc,350 Fifth Avenue,Suite 3015,New York,New York,NY,10118,36-282-4687,,,,,,,,,,NEW YORK,NEW YORK COUNTY,10118,40.748552,-73.985485,36-282-4687,TSCA10050149,110070790140,424610 Plastics Materials And Basic Forms And Shapes Merchant Wholesalers,Import,,,,,"50,000,000 - <100,000,000 lb","100,000,000 - <250,000,000 lb","100,000,000 - <250,000,000 lb","100,000,000 - <250,000,000 lb",Yes,,0,B1,0 percent by weight,W8,M3,30% - < 60%,Liquid,,,
705265,"1,2-Benzenedicarboxylic acid, 1,2-diisononyl ester",28553-12-0,ALAC INTERNATIONAL INC,ALAC INTERNATIONAL INC.,350 5TH AVE,NEW YORK,NY,Import,0,"25,021,453","25,021,453","28,004,412","38,008,448","40,917,000","10,000+",No,"Processing-incorporation into formulation, mixture, or reaction product",,"Di-isononyl phthalate (DINP) - (1,2-benzenedicarboxylic acid, 1,2-diisononyl ester)",28553120,ALAC International Inc,350 Fifth Avenue,Suite 3015,New York,New York,NY,10118,36-282-4687,,,,,,,,,,NEW YORK,NEW YORK COUNTY,10118,40.748552,-73.985485,36-282-4687,TSCA10050149,110070790140,424610 Plastics Materials And Basic Forms And Shapes Merchant Wholesalers,Import,,,,,"50,000,000 - <100,000,000 lb","100,000,000 - <250,000,000 lb","100,000,000 - <250,000,000 lb","100,000,000 - <250,000,000 lb",Yes,,0,B1,0 percent by weight,W8,M3,30% - < 60%,Liquid,,,
710427,"Phenol, 4,4'-(1-methylethylidene)bis[2,6-dibromo-",79-94-7,ALBEMARLE CORP,ALBEMARLE CORP SOUTH PLANT,2270 HIGHWAY 79 SOUTH,MAGNOLIA,AR,CBI,CBI,CBI,CBI,CBI,CBI,CBI,25 - 49,No,"Processing-incorporation into formulation, mixture, or reaction product",,"4,4'-(1-Methylethylidene)bis[2, 6-dibromophenol] (TBBPA)",79947,ALBEMARLE CORP,4350 Congress Street,Suite 700,Charlotte,Mecklenberg,NC,28209,82-508-0096,,,,,,,,,,MAGNOLIA,COLUMBIA,71753-9129,33.1756,-93.2169,82-508-0000,TSCA4169,110000743508,325180 Other Basic Inorganic Chemical Manufacturing,Withheld,325199 All Other Basic Organic Chemical Manufacturing,Withheld,,,"20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb",CBI,CBI,CBI,CBI,CBI,W3,M5,90% +,Dry Powder,,,
710427,"Phenol, 4,4'-(1-methylethylidene)bis[2,6-dibromo-",79-94-7,ALBEMARLE CORP,ALBEMARLE CORP SOUTH PLANT,2270 HIGHWAY 79 SOUTH,MAGNOLIA,AR,CBI,CBI,CBI,CBI,CBI,CBI,CBI,25 - 49,No,Processing as a reactant,,"4,4'-(1-Methylethylidene)bis[2, 6-dibromophenol] (TBBPA)",79947,ALBEMARLE CORP,4350 Congress Street,Suite 700,Charlotte,Mecklenberg,NC,28209,82-508-0096,,,,,,,,,,MAGNOLIA,COLUMBIA,71753-9129,33.1756,-93.2169,82-508-0000,TSCA4169,110000743508,325180 Other Basic Inorganic Chemical Manufacturing,Withheld,325199 All Other Basic Organic Chemical Manufacturing,Withheld,,,"20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb",CBI,CBI,CBI,CBI,CBI,W3,M5,90% +,Dry Powder,,,
710427,"Phenol, 4,4'-(1-methylethylidene)bis[2,6-dibromo-",79-94-7,ALBEMARLE CORP,ALBEMARLE CORP SOUTH PLANT,2270 HIGHWAY 79 SOUTH,MAGNOLIA,AR,CBI,CBI,CBI,CBI,CBI,CBI,CBI,25 - 49,No,"Processing-incorporation into formulation, mixture, or reaction product",,"4,4'-(1-Methylethylidene)bis[2, 6-dibromophenol] (TBBPA)",79947,ALBEMARLE CORP,4350 Congress Street,Suite 700,Charlotte,Mecklenberg,NC,28209,82-508-0096,,,,,,,,,,MAGNOLIA,COLUMBIA,71753-9129,33.1756,-93.2169,82-508-0000,TSCA4169,110000743508,325180 Other Basic Inorganic Chemical Manufacturing,Withheld,325199 All Other Basic Organic Chemical Manufacturing,Withheld,,,"20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb",CBI,CBI,CBI,CBI,CBI,W3,M5,90% +,Dry Powder,,,
716416,"Phenol, 4,4'-(1-methylethylidene)bis[2,6-dibromo-",79-94-7,ALBEMARLE CORP,ALBEMARLE CORP - HQ/CHARLOTTE,4250 CONGRESS ST,CHARLOTTE,NC,Import,CBI,CBI,CBI,CBI,CBI,CBI,< 10,No,"Processing-incorporation into formulation, mixture, or reaction product",,"4,4'-(1-Methylethylidene)bis[2, 6-dibromophenol] (TBBPA)",79947,ALBEMARLE CORP,4350 Congress Street,Suite 700,Charlotte,Mecklenberg,NC,28209,82-508-0096,,,,,,,,,SUITE 900,CHARLOTTE,MECKLENBURG COUNTY,28209,35.155272,-80.837758,82-508-0096,TSCA10071899,110070889004,325180 Other Basic Inorganic Chemical Manufacturing,Import,325199 All Other Basic Organic Chemical Manufacturing,Import,,,"20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb",CBI,CBI,CBI,B1,0 percent by weight,W1,M5,90% +,Dry Powder,,,
716416,"Phenol, 4,4'-(1-methylethylidene)bis[2,6-dibromo-",79-94-7,ALBEMARLE CORP,ALBEMARLE CORP - HQ/CHARLOTTE,4250 CONGRESS ST,CHARLOTTE,NC,Import,CBI,CBI,CBI,CBI,CBI,CBI,< 10,No,Processing as a reactant,,"4,4'-(1-Methylethylidene)bis[2, 6-dibromophenol] (TBBPA)",79947,ALBEMARLE CORP,4350 Congress Street,Suite 700,Charlotte,Mecklenberg,NC,28209,82-508-0096,,,,,,,,,SUITE 900,CHARLOTTE,MECKLENBURG COUNTY,28209,35.155272,-80.837758,82-508-0096,TSCA10071899,110070889004,325180 Other Basic Inorganic Chemical Manufacturing,Import,325199 All Other Basic Organic Chemical Manufacturing,Import,,,"20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb",CBI,CBI,CBI,B1,0 percent by weight,W1,M5,90% +,Dry Powder,,,
716416,"Phenol, 4,4'-(1-methylethylidene)bis[2,6-dibromo-",79-94-7,ALBEMARLE CORP,ALBEMARLE CORP - HQ/CHARLOTTE,4250 CONGRESS ST,CHARLOTTE,NC,Import,CBI,CBI,CBI,CBI,CBI,CBI,< 10,No,"Processing-incorporation into formulation, mixture, or reaction product",,"4,4'-(1-Methylethylidene)bis[2, 6-dibromophenol] (TBBPA)",79947,ALBEMARLE CORP,4350 Congress Street,Suite 700,Charlotte,Mecklenberg,NC,28209,82-508-0096,,,,,,,,,SUITE 900,CHARLOTTE,MECKLENBURG COUNTY,28209,35.155272,-80.837758,82-508-0096,TSCA10071899,110070889004,325180 Other Basic Inorganic Chemical Manufacturing,Import,325199 All Other Basic Organic Chemical Manufacturing,Import,,,"20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb",CBI,CBI,CBI,B1,0 percent by weight,W1,M5,90% +,Dry Powder,,,
711785,"Cyclopenta[g]-2-benzopyran, 1,3,4,6,7,8-hexahydro-4,6,6,7,8,8-hexamethyl-",1222-05-5,"ALEN USA, LLC",ALEN USA,14825 NORTHWEST FWY,HOUSTON,TX,Import,0,"46,743","46,743","46,271","38,473","36,313",< 10,No,Use-non-incorporative activities,,"1,3,4,6,7,8-Hexahydro-4,6,6,7,8,8-hexamethylcyclopenta [g]-2-benzopyran (HHCB)",1222055,"ALEN USA, LLC","14825 Northwest Freeway, Suite 500",,Houston,Harris,TX,77040,11-302-2235,INDUSTRIAS ALEN S A DE C V,Blvd. Diaz Ordaz No. 1000,,Santa Catarina,,66150,MX,81-139-3271,,HOUSTON,HARRIS COUNTY,77040,29.866966,-95.542627,11-302-2235,TSCA131341,110069721064,325611 Soap And Other Detergent Manufacturing,Import,325612 Polish And Other Sanitation Good Manufacturing,Import,,,"1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb",No,0,0,B1,0 percent by weight,W1,CBI,CBI,Liquid,,,
700627,"1,2-Benzenedicarboxylic acid, 1,2-bis(2-ethylhexyl) ester",117-81-7,ALLCHEM INDUSTRIES HOLDING CORP,"ALLCHEM INDUSTRIES INDUSTRIAL CHEMICALS GROUP, INC",6010 NW 1ST PL,GAINESVILLE,FL,Import,0,"35,280","35,280",0,0,0,Not Known or Reasonably Ascertainable,No,Not Known or Reasonably Ascertainable,NKRA,"Di-ethylhexyl phthalate - (1,2-Benzene- dicarboxylic acid, 1,2- bis(2-ethylhexyl) ester",117817,ALLCHEM INDUSTRIES HOLDING CORP,6010 NW FIRST PLACE,,GAINESVILLE,Alachua,FL,32607,05-945-5423,,,,,,,,,,GAINESVILLE,ALACHUA COUNTY,32607,29.65348,-82.40677,11-120-7127,TSCA110582,110069233868,424690 Other Chemical And Allied Products Merchant Wholesalers,Import,,,,,"10,000,000 - <50,000,000 lb","10,000,000 - <50,000,000 lb","10,000,000 - <50,000,000 lb","10,000,000 - <50,000,000 lb",Yes,,0,B1,0 percent by weight,NKRA,M5,90% +,Liquid,,,
700676,"1,2-Benzenedicarboxylic acid, 1,2-dibutyl ester",84-74-2,ALLCHEM INDUSTRIES HOLDING CORP,"ALLCHEM INDUSTRIES INDUSTRIAL CHEMICALS GROUP, INC",6010 NW 1ST PL,GAINESVILLE,FL,,,,,"308,644","396,828","396,828",,,Not Known or Reasonably Ascertainable,nkra,"Dibutyl phthalate (1,2-Benzene- dicarboxylic acid, 1,2- dibutyl ester)",84742,ALLCHEM INDUSTRIES HOLDING CORP,6010 NW FIRST PLACE,,GAINESVILLE,Alachua,FL,32607,05-945-5423,,,,,,,,,,GAINESVILLE,ALACHUA COUNTY,32607,29.65348,-82.40677,11-120-7127,TSCA110582,110069233868,424690 Other Chemical And Allied Products Merchant Wholesalers,Import,,,,,"1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb",,,,,,,,,,,,
719359,"1,3-Isobenzofurandione",85-44-9,ALLNEX USA INC.,ALLNEX USA INC.,9005 WESTSIDE PKWY,ALPHARETTA,GA,Import,0,"785,016","785,016",CBI,CBI,CBI,< 10,No,Processing as a reactant,,Phthalic anhydride,85449,Allnex USA Inc.,9005 Westside Parkway,,Alpharetta,Fulton,GA,30009,07-878-6182,,,,,,,,,,ALPHARETTA,FULTON COUNTY,30009,34.056627,-84.30006,07-878-6182,TSCA82561,110056511750,325211 Plastics Material And Resin Manufacturing,Import,,,,,"250,000,000 - <500,000,000 lb","250,000,000 - <500,000,000 lb","250,000,000 - <500,000,000 lb","250,000,000 - <500,000,000 lb",Yes,,0,B1,0 percent by weight,W1,M5,90% +,Liquid,,,
731387,Formaldehyde,50-00-0,"ARCLIN, INC.",ARCLIN USA INC WINNFIELD,344 TANNEHILL ROAD,WINNFIELD,LA,Manufacture,CBI,0,CBI,CBI,CBI,CBI,25 - 49,No,Processing as a reactant,,Formaldehyde,50000,"ARCLIN, INC.",1000 Holcomb Woods Parkway,Suite 342,Roswell,Fulton,GA,30076,06-737-6052,,,,,,,,,,WINNFIELD,WINN,71483,32.008132,-92.629177,00-962-4222,100604673,110000597596,325211 Plastics Material And Resin Manufacturing,Manufacture,,,,,"1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb",,"51,000,000",0,B1,0 percent by weight,W3,M3,30% - < 60%,Liquid,,,
732047,Formaldehyde,50-00-0,"ARCLIN, INC.",ARCLIN USA LLC,14139 U S HIGHWAY 84 WEST,ANDALUSIA,AL,Manufacture,CBI,0,CBI,CBI,CBI,CBI,10 - 24,No,Processing as a reactant,,Formaldehyde,50000,"ARCLIN, INC.",1000 Holcomb Woods Parkway,Suite 342,Roswell,Fulton,GA,30076,06-737-6052,,,,,,,,,,ANDALUSIA,COVINGTON,36420-1224,31.25293,-86.50376,05-589-4851,100604674,110056954880,325211 Plastics Material And Resin Manufacturing,Manufacture,,,,,"1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb",,"75,000,000",0,B1,0 percent by weight,W2,M3,30% - < 60%,Liquid,,,
732136,Formaldehyde,50-00-0,"ARCLIN, INC.",ARCLIN USA LLC,475 NORTH 28TH STREET,SPRINGFIELD,OR,Manufacture,CBI,0,CBI,CBI,CBI,CBI,25 - 49,No,Processing as a reactant,,Formaldehyde,50000,"ARCLIN, INC.",1000 Holcomb Woods Parkway,Suite 342,Roswell,Fulton,GA,30076,06-737-6052,,,,,,,,,,SPRINGFIELD,LANE,97477-5181,44.0485,-122.98675,00-942-0126,100604675,110000488507,325211 Plastics Material And Resin Manufacturing,Manufacture,,,,,"1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb",,"56,000,000",0,B1,0 percent by weight,W3,M3,30% - < 60%,Liquid,,,
